age,income,employment_type,marital_status,time_spent_on_platform,number_of_sessions,fields_filled_percentage,previous_year_filing,device_type,referral_source,completed_filing
56,108031,unemployed,married,96.47274613875095,7,0.5983361262611643,1,tablet,social_media_ad,1
46,57019,full_time,single,69.46221555552569,9,0.9593061969504455,0,tablet,social_media_ad,1
32,64948,unemployed,single,94.73880527730667,5,0.7071223181647648,0,tablet,organic_search,1
60,85133,part_time,divorced,96.87408265317266,5,0.9082759204778333,1,tablet,friend_referral,1
25,86458,unemployed,single,66.03397428440232,6,0.7695355481779615,1,desktop,organic_search,1
38,47526,unemployed,married,73.8969672593005,7,0.7327611062672426,0,tablet,friend_referral,1
56,93493,part_time,divorced,81.46009213099984,8,0.8092780800910674,0,mobile,social_media_ad,1
36,72198,contractor,single,79.03436869503057,3,0.8868946742246564,0,desktop,social_media_ad,1
40,119534,part_time,single,106.52540742112204,7,0.7867045026458417,0,desktop,social_media_ad,0
28,63395,contractor,single,118.23021053729818,11,0.8783444123150215,0,tablet,friend_referral,1
28,44031,part_time,single,93.78913706394219,9,0.5142790986757078,1,tablet,social_media_ad,1
41,95542,part_time,married,115.32579135017863,14,0.5665099242248807,1,desktop,organic_search,1
53,57701,part_time,single,119.04976920969258,9,0.537833692952384,1,mobile,social_media_ad,1
57,45939,full_time,married,98.29414113910684,10,0.8789819126887455,0,desktop,friend_referral,1
41,69145,contractor,married,108.16087486392358,6,0.4516771353142455,0,desktop,friend_referral,1
20,40324,full_time,married,95.53309683658344,10,0.8775179184650368,0,tablet,organic_search,1
39,42867,part_time,divorced,77.54340491609625,8,0.6334253798887131,1,mobile,organic_search,1
19,20203,unemployed,married,85.06481096910395,10,0.4477042972104373,0,tablet,friend_referral,1
41,36544,full_time,single,106.5229632131579,12,0.6546557569158774,0,tablet,friend_referral,1
61,35899,contractor,divorced,97.57340920763264,8,0.5803013803203108,0,tablet,organic_search,1
47,49063,part_time,single,114.74346026219676,7,0.7551713096695898,1,tablet,organic_search,1
55,110880,full_time,married,62.260258524347876,7,0.6835159798562878,0,mobile,organic_search,0
19,23748,unemployed,single,67.0685686860387,4,0.5780664346530101,0,tablet,organic_search,0
38,86629,full_time,divorced,69.43550293287096,9,0.9173595666433093,0,tablet,friend_referral,1
50,100764,contractor,divorced,103.3330636220775,13,0.6440928549073414,0,mobile,social_media_ad,1
29,40884,full_time,single,72.43793803321915,15,0.6824139950810673,0,desktop,friend_referral,1
39,45183,unemployed,single,106.4025832995387,8,0.9079771148514746,1,tablet,organic_search,1
61,101570,unemployed,single,115.0601984212829,12,0.4534339650064128,0,desktop,friend_referral,1
42,91246,contractor,divorced,130.32499546838767,11,0.6339358850666468,1,tablet,organic_search,1
44,39259,unemployed,married,128.1181510328055,10,0.6417140119170339,0,tablet,friend_referral,1
59,55959,part_time,single,86.09160691332343,12,0.69749539309401,0,mobile,organic_search,1
45,53457,unemployed,married,66.60724013963568,11,0.4636723554156432,1,mobile,organic_search,1
33,105679,part_time,divorced,87.36116003379828,10,0.46159607274973086,0,desktop,friend_referral,1
32,22103,full_time,single,119.53671493872346,7,0.6498495734595495,0,tablet,organic_search,1
64,85901,part_time,single,92.20619862320551,10,0.4198174050080367,1,mobile,social_media_ad,1
61,64535,part_time,divorced,99.51358819922542,6,0.5529906154357811,0,tablet,organic_search,1
20,36103,full_time,single,88.8567851119764,12,0.5207060522629382,1,tablet,organic_search,1
54,118046,unemployed,married,131.6240552983937,7,0.6936317567941448,1,desktop,organic_search,1
24,110012,part_time,divorced,79.71078470361581,15,0.4066957343309264,0,tablet,social_media_ad,1
38,98278,unemployed,divorced,101.33531079462627,7,0.8054400701583824,0,mobile,friend_referral,0
26,32391,full_time,single,122.16477122199825,6,0.9133523842784417,0,desktop,social_media_ad,0
56,48901,contractor,divorced,136.83098952790732,5,0.8240449109435826,0,mobile,social_media_ad,1
35,117537,unemployed,single,86.10395796922715,9,0.8908469016172,0,desktop,social_media_ad,1
21,101159,unemployed,single,119.2161173227675,14,0.785989842278912,0,desktop,friend_referral,1
42,87914,contractor,divorced,87.35470012953813,11,0.7044202206334851,0,tablet,organic_search,1
31,70357,contractor,single,127.54319737157434,12,0.5314129583858005,0,desktop,social_media_ad,0
26,106908,full_time,married,134.5893410345855,12,0.5677758086097184,0,desktop,organic_search,1
43,58437,unemployed,married,82.20810202924568,13,0.5906248022317107,0,tablet,social_media_ad,1
19,55503,unemployed,single,113.06927017770063,5,0.42281060167989026,1,desktop,social_media_ad,1
37,116282,full_time,married,122.26573055543577,17,0.9478532628471401,0,desktop,social_media_ad,1
45,113459,unemployed,single,94.11465224753813,13,0.9401816215800244,0,mobile,social_media_ad,1
64,95403,part_time,married,110.95428880386314,9,0.46466670971797314,1,mobile,social_media_ad,0
24,61258,part_time,divorced,112.00034521286706,12,0.734016139330032,1,tablet,social_media_ad,1
61,53724,part_time,single,140.1930027157955,11,0.6805847765223014,1,desktop,friend_referral,1
25,84286,unemployed,single,60.57996561600178,9,0.8100483982251971,0,tablet,organic_search,1
64,94842,part_time,single,98.8817299589028,8,0.7618105963230006,1,tablet,organic_search,1
52,34908,part_time,single,74.99493196159312,11,0.4745930807075985,0,tablet,friend_referral,1
31,112617,full_time,single,100.27596155466865,11,0.7960465869770774,0,mobile,social_media_ad,0
34,70626,full_time,single,84.34283994835818,11,0.7653233823736225,1,tablet,friend_referral,1
53,57228,contractor,divorced,94.9016556126682,6,0.7187341827842834,0,desktop,friend_referral,1
57,43386,contractor,divorced,82.5170532262895,10,0.6414437599439361,0,mobile,friend_referral,1
21,66754,contractor,married,103.10734906271355,10,0.9729525964318986,1,mobile,organic_search,1
19,48302,contractor,single,121.47788340366992,8,0.9096637367866696,1,mobile,friend_referral,1
23,80815,full_time,married,92.54530425135562,15,0.7510509849519522,0,desktop,social_media_ad,1
59,104748,full_time,married,128.61244411457088,10,0.4038266951605699,1,tablet,friend_referral,1
21,83344,full_time,divorced,120.87913616018238,7,0.6592739453018639,0,tablet,organic_search,0
46,55618,part_time,married,140.68138037913667,11,0.8202038371300594,0,mobile,organic_search,1
35,96234,part_time,divorced,108.22714024114858,7,0.4703765408616954,1,mobile,social_media_ad,1
43,81114,contractor,married,98.76711916737443,7,0.6439297699430454,1,tablet,friend_referral,1
61,90130,part_time,single,68.29525606912895,10,0.5150351343715829,0,desktop,social_media_ad,1
51,45525,unemployed,married,84.36625756813906,6,0.6028857922892906,1,mobile,friend_referral,0
27,99818,full_time,divorced,95.84194021001518,8,0.41600152241189386,0,mobile,social_media_ad,1
53,34334,contractor,divorced,98.20985937676924,12,0.4760394293589396,1,desktop,social_media_ad,1
31,114715,contractor,divorced,146.97444804493003,8,0.6728541100835563,1,mobile,social_media_ad,1
48,82767,unemployed,married,95.86046436887125,9,0.9389139526214682,1,desktop,organic_search,1
65,26644,part_time,married,64.63293421458788,15,0.6943489729605163,1,tablet,organic_search,1
32,52933,contractor,divorced,113.29140713555759,8,0.6718464812247305,0,tablet,friend_referral,1
25,63469,part_time,single,112.12996480538648,10,0.8725416357828935,0,mobile,organic_search,1
31,53687,part_time,single,90.82140591120243,8,0.5606980461615735,1,tablet,social_media_ad,1
40,72656,unemployed,married,142.55340915505235,8,0.45704124953491365,0,desktop,organic_search,1
57,37375,contractor,married,62.067578905141495,7,0.5257435722020075,1,mobile,organic_search,1
38,85206,part_time,divorced,124.9891419917573,12,0.8747805021695695,0,desktop,friend_referral,1
33,116462,part_time,married,94.17806591843943,18,0.8062287550561709,1,tablet,social_media_ad,1
62,56607,unemployed,married,80.99164443441418,10,0.45491990935242155,1,tablet,organic_search,1
35,103178,unemployed,divorced,148.0079655587484,13,0.8002558961700699,0,tablet,organic_search,1
64,43993,part_time,divorced,114.73393460582562,11,0.9589308909306251,0,mobile,friend_referral,1
